Simulation;Final_Balance;Return_%;Max_Drawdown_%;Win_Rate_%;Winning_Trades;Max_Win_Streak;Max_Loss_Streak;Max_TTR
1;13634,9760;36,3498;7,0739;66,0000;66;9;3;32
2;11927,0389;19,2704;6,0286;59,0000;59;6;5;46
3;13201,3410;32,0134;6,6983;64,0000;64;7;5;26
4;13981,4976;39,8150;4,8875;67,0000;67;9;3;21
5;12427,0335;24,2703;3,9155;61,0000;61;6;3;13
6;11904,7038;19,0470;4,9298;59,0000;59;7;3;23
7;13710,7330;37,1073;5,0015;66,0000;66;10;4;22
8;13714,2459;37,1425;2,9701;66,0000;66;8;3;11
9;13125,8936;31,2589;5,9971;64,0000;64;9;4;26
10;14275,7627;42,7576;4,9010;68,0000;68;9;5;23
11;15027,5271;50,2753;3,0580;71,0000;71;11;3;10
12;16455,1282;64,5513;3,0609;75,0000;75;16;3;14
13;13818,6022;38,1860;3,9942;66,0000;66;7;3;14
14;11877,4508;18,7745;6,8275;59,0000;59;8;7;16
15;14855,4867;48,5549;2,9701;70,0000;70;10;3;8
16;12327,9471;23,2795;5,9225;61,0000;61;6;6;18
17;15129,2938;51,2929;2,1030;71,0000;71;8;2;9
18;14177,4883;41,7749;3,9643;68,0000;68;11;3;16
19;13688,5030;36,8850;4,9010;66,0000;66;12;5;12
20;12153,8866;21,5389;3,2722;60,0000;60;6;3;38
21;11647,0118;16,4701;9,9000;58,0000;58;7;4;52
22;11418,5520;14,1855;3,0805;57,0000;57;6;3;22
23;11648,7988;16,4880;5,8830;58,0000;58;9;4;31
24;15524,4486;55,2445;2,9701;72,0000;72;8;3;7
25;13360,3491;33,6035;5,0130;65,0000;65;6;4;23
26;12975,5774;29,7558;3,0489;63,0000;63;8;3;13
27;11969,5783;19,6958;3,9317;59,0000;59;7;3;17
28;14861,3680;48,6137;3,9602;70,0000;70;9;4;12
29;14198,0101;41,9801;2,9513;68,0000;68;9;2;11
30;14293,5228;42,9352;3,9185;68,0000;68;11;3;13
31;13921,3533;39,2135;4,8678;67,0000;67;10;4;17
32;11423,9587;14,2396;8,7383;57,0000;57;7;7;69
33;13216,0864;32,1609;6,0055;64,0000;64;15;4;27
34;14110,0434;41,1004;3,9404;67,0000;67;11;4;14
35;13978,5704;39,7857;4,0863;67,0000;67;10;4;14
36;11664,6403;16,6464;5,8704;58,0000;58;6;5;20
37;14072,1042;40,7210;3,9404;67,0000;67;17;4;12
38;14237,3034;42,3730;4,9387;68,0000;68;6;5;15
39;10141,8873;1,4189;6,8188;51,0000;51;7;4;56
40;13781,3575;37,8136;3,9651;66,0000;66;9;4;13
41;12113,3867;21,1339;3,9972;60,0000;60;8;3;25
42;14330,5243;43,3052;3,9404;68,0000;68;12;4;23
43;12209,9902;22,0999;4,9899;60,0000;60;5;4;34
44;12846,3997;28,4640;4,8999;63,0000;63;6;3;22
45;10951,6994;9,5170;8,9109;55,0000;55;5;6;60
46;15690,2918;56,9029;2,9701;73,0000;73;8;3;8
47;14148,6611;41,4866;3,9259;67,0000;67;13;3;13
48;12115,5719;21,1557;2,1294;60,0000;60;4;2;8
49;12608,5314;26,0853;6,7970;62,0000;62;6;5;28
50;13168,2410;31,6824;5,0477;64,0000;64;9;3;24
51;12945,8347;29,4583;3,0408;63,0000;63;6;3;14
52;14000,0888;40,0009;2,9701;67,0000;67;11;3;9
53;12477,6751;24,7768;4,9020;61,0000;61;8;4;14
54;12927,5800;29,2758;5,0144;63,0000;63;8;5;20
55;13381,9752;33,8198;4,8086;65,0000;65;8;4;11
56;12358,3804;23,5838;5,0179;61,0000;61;9;3;22
57;15812,1011;58,1210;3,9404;73,0000;73;11;4;22
58;13690,7459;36,9075;3,0827;66,0000;66;7;3;16
59;12630,0025;26,3000;5,9786;62,0000;62;9;6;36
60;14345,2413;43,4524;3,9404;68,0000;68;22;4;19
61;14891,8117;48,9181;4,9010;70,0000;70;9;5;18
62;12510,4509;25,1045;5,0517;61,0000;61;8;5;24
63;12905,9680;29,0597;4,1223;63,0000;63;8;3;22
64;15486,0587;54,8606;4,9205;72,0000;72;12;3;17
65;15168,8859;51,6889;2,1588;71,0000;71;6;2;8
66;13705,8995;37,0590;3,9824;66,0000;66;9;4;18
67;12739,3443;27,3934;4,9407;62,0000;62;8;4;25
68;13154,5481;31,5455;5,2218;64,0000;64;11;5;30
69;14515,7046;45,1570;3,9987;69,0000;69;11;3;13
70;13486,7405;34,8674;4,9541;65,0000;65;11;4;20
71;13672,6118;36,7261;4,9311;66,0000;66;16;3;17
72;13989,7826;39,8978;7,7087;67,0000;67;6;4;22
73;13841,9590;38,4196;4,0379;66,0000;66;10;3;39
74;12381,4236;23,8142;5,0033;61,0000;61;7;3;34
75;14546,2289;45,4623;7,7488;69,0000;69;12;5;22
76;13982,0132;39,8201;4,0352;67,0000;67;13;4;30
77;13877,1431;38,7714;4,9010;67,0000;67;8;5;13
78;13119,2976;31,1930;5,9583;64,0000;64;6;4;15
79;13969,1617;39,6916;2,9701;67,0000;67;6;3;8
80;11897,6550;18,9766;4,9070;59,0000;59;6;4;22
81;16021,6481;60,2165;1,9900;74,0000;74;6;2;8
82;14566,2622;45,6626;3,0051;69,0000;69;8;3;18
83;11460,2890;14,6029;9,6344;57,0000;57;7;7;36
84;14885,5734;48,8557;3,0484;70,0000;70;11;3;12
85;12631,8213;26,3182;6,8248;62,0000;62;11;4;27
86;14291,4221;42,9142;4,9772;68,0000;68;7;3;19
87;13181,4272;31,8143;3,9404;64,0000;64;7;4;8
88;15174,2328;51,7423;4,0317;71,0000;71;13;4;10
89;13702,3128;37,0231;5,9001;66,0000;66;12;5;14
90;14501,2843;45,0128;3,9535;69,0000;69;17;3;24
91;15199,7876;51,9979;4,9293;71,0000;71;10;3;12
92;14159,9860;41,5999;4,0117;68,0000;68;10;4;16
93;15462,7659;54,6277;3,8946;72,0000;72;10;3;12
94;13744,9268;37,4493;3,9489;66,0000;66;8;3;12
95;14566,6540;45,6665;4,9553;69,0000;69;11;3;14
96;13131,4873;31,3149;4,9010;64,0000;64;15;5;26
97;12420,9603;24,2096;4,1050;61,0000;61;11;3;14
98;15835,9579;58,3596;3,9404;73,0000;73;7;4;7
99;14618,6576;46,1866;2,9987;69,0000;69;9;3;12
